WELL_ALIAS,SURFACE_LATITUDE,SURFACE_LONGITUDE,BOPD,START_DATETIME_JOB,END_DATETIME_JOB,MOVING_TIME
WELL-1407,2.507497956,116.9281489,9,9/30/2024 16:00,10/2/2024 3:30,0.51
WELL-1712,2.507501964,116.9283529,45,10/2/2024 3:30,10/3/2024 14:00,0.73
WELL-1495,2.532479593,116.9624071,42,10/3/2024 14:00,10/8/2024 12:00,0.77
WELL-811,2.539819731,116.9495455,45,10/8/2024 12:00,10/18/2024 14:00,1.26
WELL-1566,2.565096708,116.925571,30,10/18/2024 14:00,10/23/2024 16:00,0.92
WELL-830,2.530962416,116.9731863,20,10/23/2024 16:00,10/25/2024 18:30,0.51
WELL-826,2.53105072,116.9730931,57.2,10/25/2024 18:30,10/27/2024 17:00,0.51
WELL-1066,2.517507267,116.9991159,30,10/27/2024 17:00,11/13/2024 0:00,1.38
WELL-1673,2.50670889,116.9713063,33.4,11/13/2024 0:00,11/17/2024 11:00,0.71
WELL-830,2.530962416,116.9731863,75.9,11/17/2024 11:00,11/20/2024 9:00,0.82
WELL-982,2.471236377,117.075611,40,11/20/2024 9:00,11/29/2024 3:00,1.15
WELL-1572,2.486681026,117.0240262,68.8,11/29/2024 3:00,12/3/2024 0:00,0.51
WELL-1646,2.481513881,117.0252208,55.2,12/3/2024 0:00,12/3/2024 18:00,0.51
WELL-887,2.492781271,117.0299749,26,12/3/2024 18:00,12/6/2024 0:00,0.4
WELL-1464,2.461965939,117.0532683,47.2,12/6/2024 0:00,12/7/2024 16:00,0.51
WELL-737,2.473717353,117.0748973,34.8,12/7/2024 16:00,12/10/2024 0:00,0.51
WELL-980,2.490828725,117.0162072,45,12/24/2024 16:30,1/2/2025 21:30,1.42
